fecha,clave,campo,valor_anterior,valor_nuevo
2026-07-10 18:19,aviso:cl-ad-19140615,gen,,Nueva gen (Next-Gen)
2026-07-10 18:19,aviso:cl-ad-19140615,gen,Nueva gen (Next-Gen),T6
2026-07-10 18:19,aviso:cl-ad-19140615,excluir,,True
2026-07-10 21:16,aviso:cl-ad-20239524,version,,5.0 lariat 4wd sc at 4p.
2026-07-10 21:16,aviso:cl-ad-13972311,version,,5.0 lariat 4wd sc at 4p.
2026-07-10 21:16,aviso:cl-ad-19863761,version,,5.0 lariat 4wd sc at 4p.
2026-07-10 21:16,aviso:cl-ad-20478713,version,,5.0 lariat 4wd sc at 4p.
2026-07-10 21:16,aviso:cl-ad-19575754,version,,5.0 lariat 4wd sc at 4p.
2026-07-10 21:16,aviso:cl-ad-19863364,version,,5.0 lariat 4wd sc at 4p.
2026-07-10 21:16,aviso:cl-ad-20154053,version,,5.0 lariat 4wd sc at 4p.
2026-07-10 21:16,aviso:cl-ad-13610636,version,,5.0 lariat 4wd sc at 4p.
2026-07-10 21:16,aviso:cl-ad-17638956,version,,5.0 lariat 4wd sc at 4p.
2026-07-10 21:16,aviso:cp-ad-8535135,version,,5.0 lariat 4wd sc at 4p.
2026-07-10 21:16,aviso:cl-ad-19177471,version,,5.0 lariat 4wd sc at 4p.
2026-07-10 21:16,aviso:cl-ad-20198878,version,,5.0 lariat 4wd sc at 4p.
2026-07-10 21:16,aviso:cl-ad-17768475,version,,5.0 lariat 4wd sc at 4p.
2026-07-10 21:16,aviso:cl-ad-15642898,version,,5.0 lariat 4wd sc at 4p.
2026-07-10 21:16,aviso:cl-ad-20190599,version,,5.0 lariat 4wd sc at 4p.
2026-07-10 21:16,aviso:cl-ad-20278166,version,,5.0 lariat 4wd sc at 4p.
2026-07-10 21:16,aviso:cl-ad-19254647,version,,5.0 lariat 4wd sc at 4p.
2026-07-10 21:16,aviso:cl-ad-20590985,version,,5.0 lariat 4wd sc at 4p.
2026-07-10 21:16,aviso:cl-ad-20477551,version,,5.0 lariat 4wd sc at 4p.
2026-07-10 21:16,aviso:cl-ad-19416218,version,,5.0 lariat 4wd sc at 4p.
